CBS Drama.

Понедiлок, 15 квiтня
13.40 Т/с "Гаваї 5-0", 24 с. (16+).
14.30 Т/с "Гаваї 5-0", 1 с. (16+).
15.20 Т/с "Гаваї 5-0", 2 с. (16+).
16.10 Т/с "Проти її волi: iсторiя Керрi Бак". (16+).
17.50 Т/с "Нова Сутiнкова Зона", 19 с. (16+).
18.15 Т/с "Нова Сутiнкова Зона", 20 с. (16+).
18.40 Т/с "Нова Сутiнкова Зона", 21 с. (16+).
19.05 Т/с "Нова Сутiнкова Зона", 22 с. (16+).
19.30 Т/с "Нова Сутiнкова Зона", 23 с. (16+).
19.55 Т/с "Нова Сутiнкова Зона", 24 с. (16+).
20.20 Т/с "Нова Сутiнкова Зона", 25 с. (16+).
20.45 Т/с "Нова Сутiнкова Зона", 26 с. (16+).
21.10 Т/с "Нова Сутiнкова Зона", 27 с. (16+).
21.35 Т/с "Нова Сутiнкова Зона", 28 с. (16+).
22.00 Т/с "Лос-Анджелес, округ 187". (16+).
23.40 Т/с "Твiн Пiкс", 6 с. (16+).
0.30 Т/с "Твiн Пiкс", 7 с. (16+).
1.25 Т/с "Твiн Пiкс", 8 с. (16+).
2.20 Т/с "Твiн Пiкс", 1 с. (16+).
4.10 Т/с "Твiн Пiкс", 2 с. (16+).
5.15 Т/с "Лос-Анджелес, округ 187". (16+).

Недiля, 21 квiтня
7.00 Т/с "Плата не по заслугах", 140 с. (16+).
7.50 Т/с "Метлок", 9 с. (16+).
8.40 Т/с "Метлок", 11 с. (16+).
9.30 Т/с "Метлок", 13 с. (16+).
10.20 Т/с "Метлок", 14 с. (16+).
11.10 Т/с "Метлок", 16 с. (16+).
12.00 Т/с "Таємницi отця Даулiнга", 11 с. (16+).
12.50 Т/с "Таємницi отця Даулiнга", 12 с. (16+).
13.40 Т/с "Таємницi отця Даулiнга", 13 с. (16+).
14.30 Т/с "Таємницi отця Даулiнга", 14 с. (16+).
15.20 Т/с "Таємницi отця Даулiнга", 15 с. (16+).
16.10 Т/с "Лос-Анджелес, округ 187". (16+).
17.50 Т/с "Династiя", 8 с. (16+).
18.40 Т/с "Династiя", 9 с. (16+).
19.30 Т/с "Династiя", 10 с. (16+).
20.20 Т/с "Династiя", 11 с. (16+).
21.10 Т/с "Династiя", 12 с. (16+).
22.00 Т/с "Брати кордону". (16+).
23.40 Т/с "4400", 1 с. (16+).
0.30 Т/с "4400", 2 с. (16+).
1.25 Т/с "4400", 3 с. (16+).
2.20 Т/с "4400", 4 с. (16+).
3.15 Т/с "4400", 5 с. (16+).
4.10 Т/с "Брати кордону". (16+).
5.55 Т/с "Безвiсти зникла", 37 с. (16+).




